monthly output file at cell level

Monthly summary output from 3D-CMCC version 'f', time 'd', spatial 'u'


Cell 1, 1, Lat = 51.18, Long  = 4.31


Monthly GPP = monthly total gross primary production (gC/m2/month)
Monthly NPP = monthly total net primary production (tDM/m2/month)
Monthly ET = monthly canopy transpiration(mm/month)



-YEAR      MONTH        GPP        NPP         ET
-2009          5    192.358    1.44903    8.57483
-2009          6    208.853     1.5761    10.1528
-2009          7    150.665    1.13918    8.32517
-2009          8    137.172    1.03863    8.16459
-2009          9    130.609   0.990211    5.93824
-2009         10     85.644   0.650094    3.86354
-2009         11    35.0353   0.266154    1.67473
-2009         12    16.7605   0.127367    1.56794

-YEAR      MONTH        GPP        NPP         ET

-2010          1    10.5489  0.0801765    1.63734
-2010          2    17.3359   0.131774    1.83683
-2010          3    83.9741   0.638417     4.9737
-2010          4    169.482    1.28949     7.8305
-2010          5    177.546    1.35292    8.12729
-2010          6    173.767    1.32628    9.07469
-2010          7    125.834   0.961973    8.24491
-2010          8    145.772     1.1157    6.87405
-2010          9    129.526   0.992683    5.65971
-2010         10    85.8441    0.65869    4.01142
-2010         11    22.0501   0.169327    1.40538
-2010         12    5.79721   0.044528    1.21261

-YEAR      MONTH        GPP        NPP         ET

-2011          1    15.4001   0.118294    1.39748
-2011          2    33.0043   0.253553    2.09562
-2011          3    111.116   0.853918    5.57796
-2011          4    154.762    1.19051    7.14725
-2011          5     194.13    1.49546    8.79814
-2011          6    158.271    1.22134    7.89377
-2011          7    157.756    1.21915    7.29515
-2011          8    138.381    1.07096    6.65459
-2011          9    111.236   0.861966     5.4187
-2011         10     83.063   0.644314    3.71336
-2011         11     41.321   0.320765    2.05689
-2011         12    16.5947   0.128869   0.973408
